"Time","Position","Velocity","Acceleration"
0.05,0.453,-0.083,0.906
0.10,0.448,-0.046,1.131
0.15,0.446,0.004,1.378
0.20,0.442,0.132,0.908
0.25,0.463,0.175,-0.890
0.30,0.472,0.007,-1.944
0.35,0.463,-0.142,-0.836
0.40,0.445,-0.082,0.494
0.45,0.455,0.001,0.345
0.50,0.454,-0.055,0.221
0.55,0.445,-0.037,0.975
0.60,0.445,0.069,1.302
0.65,0.454,0.139,0.785
0.70,0.462,0.149,0.034
0.75,0.468,0.151,-0.918
0.80,0.481,0.071,-1.943
0.85,0.480,-0.091,-1.939
0.90,0.469,-0.189,-0.623
0.95,0.455,-0.167,1.043
1.00,0.448,-0.051,2.025
1.05,0.449,0.084,1.902
1.10,0.458,0.182,0.809
1.15,0.472,0.184,-0.699
1.20,0.481,0.089,-1.740
1.25,0.482,-0.031,-1.878
1.30,0.477,-0.129,-1.257
1.35,0.467,-0.177,-0.151
1.40,0.456,-0.148,1.026
1.45,0.449,-0.055,1.758
1.50,0.449,0.061,1.708
1.55,0.456,0.151,0.816
1.60,0.467,0.168,-0.620
1.65,0.477,0.090,-1.952
1.70,0.481,-0.079,-2.186
1.75,0.467,-0.198,-1.043
1.80,0.454,-0.185,0.241
1.85,0.447,-0.132,0.773
1.90,0.442,-0.087,0.811
1.95,0.439,-0.049,0.707
2.00,0.438,-0.016,0.572
2.05,0.437,0.009,0.415
2.10,0.439,0.027,0.210
2.15,0.441,0.032,-0.021
2.20,0.442,0.022,-0.182
2.25,0.443,0.007,-0.198
2.30,0.443,-0.004,-0.073
2.35,0.442,-0.004,0.125
2.40,0.442,0.012,0.252
2.45,0.443,0.032,0.167
2.50,0.446,0.032,0.007
2.55,0.447,0.027,-0.070
2.60,0.448,0.025,-0.140
2.65,0.450,0.015,-0.221
2.70,0.450,-0.001,-0.209
2.75,0.449,-0.014,-0.057
2.80,0.448,-0.006,0.086
2.85,0.449,0.003,0.082
2.90,0.449,0.004,0.020
2.95,0.449,0.003,-0.016
3.00,0.449,0.001,-0.022
3.05,0.449,0.000,-0.015
3.10,0.449,0.000,-0.003
3.15,0.449,0.000,-0.001
3.20,0.449,0.001,-0.024
3.25,0.449,-0.001,-0.065
3.30,0.449,-0.005,-0.117
3.35,0.449,-0.013,-0.164
3.40,0.448,-0.023,-0.172
3.45,0.447,-0.035,-0.104
3.50,0.444,-0.032,-0.057
3.55,0.444,-0.035,-0.102
3.60,0.441,-0.046,-0.096
3.65,0.438,-0.047,-0.049
3.70,0.436,-0.050,-0.008
3.75,0.433,-0.049,0.061
3.80,0.431,-0.042,0.086
3.85,0.429,-0.038,0.038
3.90,0.427,-0.032,-0.118
3.95,0.427,-0.050,-0.236
4.00,0.422,-0.072,-0.047
4.05,0.418,-0.059,0.216
4.10,0.416,-0.038,0.262
4.15,0.415,-0.026,0.172
4.20,0.414,-0.022,0.070
4.25,0.413,-0.022,0.019
4.30,0.412,-0.020,-0.016
4.35,0.411,-0.022,-0.059
4.40,0.410,-0.032,0.004
4.45,0.407,-0.027,0.148
4.50,0.407,-0.011,0.181
4.55,0.407,-0.003,0.103
4.60,0.407,-0.001,0.018
4.65,0.407,-0.003,-0.025
4.70,0.406,-0.006,-0.011
4.75,0.406,-0.005,0.019
4.80,0.406,-0.003,0.029
4.85,0.406,-0.001,0.013
4.90,0.406,-0.001,-0.002
4.95,0.406,-0.003,0.011
5.00,0.405,0.000,0.022
5.05,0.406,0.002,-0.005
5.10,0.406,-0.001,-0.027
5.15,0.405,-0.003,-0.018
5.20,0.405,-0.004,0.016
5.25,0.405,-0.001,0.038
5.30,0.405,0.003,0.003
5.35,0.405,0.000,-0.037
5.40,0.405,-0.003,-0.042
5.45,0.405,-0.006,-0.025
5.50,0.404,-0.004,-0.034
5.55,0.405,-0.006,-0.092
5.60,0.404,-0.015,-0.112
5.65,0.403,-0.021,-0.053
5.70,0.402,-0.022,0.040
5.75,0.401,-0.016,0.106
5.80,0.400,-0.009,0.118
5.85,0.400,-0.002,0.089
5.90,0.400,0.000,0.050
5.95,0.400,0.003,0.005
6.00,0.401,0.001,-0.048
6.05,0.400,-0.004,-0.048
6.10,0.400,-0.005,-0.010
6.15,0.400,-0.005,0.024
6.20,0.399,-0.003,0.057
6.25,0.399,0.003,0.045
6.30,0.400,0.004,-0.001
6.35,0.400,0.001,-0.026
6.40,0.400,0.000,-0.026
6.45,0.400,-0.002,-0.014
6.50,0.400,-0.002,-0.007
6.55,0.400,-0.001,-0.036
6.60,0.400,-0.004,-0.080
6.65,0.399,-0.010,-0.047
6.70,0.399,-0.021,0.266
6.75,0.396,-0.003,0.885
6.80,0.395,0.073,1.353
6.85,0.402,0.183,0.877
6.90,0.421,0.167,0.086
6.95,0.415,0.186,-0.645
7.00,0.443,0.142,-1.726
7.05,0.441,-0.083,-0.866
7.10,0.421,-0.063,2.023
7.15,0.422,0.191,3.524
7.20,0.442,0.433,2.171
7.25,0.474,0.487,-0.956
7.30,0.501,0.316,-3.764
7.35,0.510,0.030,-4.831
7.40,0.503,-0.251,-3.911
7.45,0.481,-0.427,-1.427
7.50,0.453,-0.421,1.648
7.55,0.431,-0.227,3.924
7.60,0.427,0.048,4.457
7.65,0.437,0.296,3.161
7.70,0.461,0.424,0.493
7.75,0.488,0.357,-2.416
7.80,0.504,0.133,-4.201
7.85,0.503,-0.145,-4.115
7.90,0.486,-0.355,-2.246
7.95,0.461,-0.411,0.588
8.00,0.438,-0.286,3.164
8.05,0.427,-0.034,4.347
8.10,0.433,0.232,3.608
8.15,0.454,0.400,1.215
8.20,0.482,0.380,-1.758
8.25,0.500,0.180,-3.780
8.30,0.502,-0.079,-3.987
8.35,0.490,-0.289,-2.542
8.40,0.468,-0.375,-0.096
8.45,0.445,-0.294,2.282
8.50,0.434,-0.103,3.636
8.55,0.433,0.130,3.529
8.60,0.448,0.319,1.849
8.65,0.472,0.356,-0.727
8.70,0.491,0.228,-2.915
8.75,0.499,0.004,-3.731
8.80,0.491,-0.216,-2.895
8.85,0.473,-0.340,-0.795
8.90,0.451,-0.312,1.678
8.95,0.436,-0.142,3.429
9.00,0.433,0.102,3.573
9.05,0.448,0.292,2.009
9.10,0.469,0.339,-0.397
9.15,0.489,0.236,-2.493
9.20,0.497,0.037,-3.407
9.25,0.492,-0.166,-2.882
9.30,0.477,-0.301,-1.189
9.35,0.457,-0.306,1.004
9.40,0.441,-0.181,2.755
9.45,0.435,0.020,3.320
9.50,0.443,0.214,2.424
9.55,0.461,0.311,0.427
9.60,0.480,0.265,-1.748
9.65,0.493,0.100,-3.095
9.70,0.492,-0.106,-3.029
9.75,0.480,-0.262,-1.612
9.80,0.461,-0.298,0.521
9.85,0.444,-0.200,2.429
9.90,0.437,-0.009,3.247
9.95,0.442,0.194,2.508
10.00,0.461,0.298,0.543
10.05,0.479,0.250,-1.522
10.10,0.489,0.106,-2.744
10.15,0.491,-0.073,-2.813
10.20,0.481,-0.224,-1.723
10.25,0.464,-0.279,0.118
10.30,0.448,-0.210,1.901
10.35,0.440,-0.052,2.848
10.40,0.442,0.128,2.557
10.45,0.455,0.254,1.126
10.50,0.472,0.262,-0.804
10.55,0.486,0.155,-2.343
10.60,0.490,-0.013,-2.897
10.65,0.485,-0.191,-2.146
10.70,0.467,-0.279,-0.270
10.75,0.451,-0.223,1.727
10.80,0.441,-0.068,2.860
10.85,0.442,0.124,2.609
10.90,0.456,0.249,1.098
10.95,0.473,0.251,-0.834
11.00,0.486,0.141,-2.247
11.05,0.489,-0.021,-2.582
11.10,0.483,-0.163,-1.836
11.15,0.470,-0.237,-0.343
11.20,0.455,-0.200,1.227
11.25,0.446,-0.085,2.175
11.30,0.445,0.052,2.290
11.35,0.452,0.180,1.515
11.40,0.466,0.239,-0.039
11.45,0.481,0.180,-1.666
11.50,0.488,0.042,-2.587
11.55,0.487,-0.129,-2.331
11.60,0.472,-0.246,-0.863
11.65,0.456,-0.234,1.010
11.70,0.445,-0.118,2.312
11.75,0.443,0.044,2.534
11.80,0.450,0.184,1.629
11.85,0.464,0.239,0.004
11.90,0.479,0.183,-1.595
11.95,0.486,0.045,-2.412
12.00,0.484,-0.108,-2.092
12.05,0.473,-0.207,-0.816
12.10,0.459,-0.199,0.716
12.15,0.450,-0.112,1.793
12.20,0.446,0.007,2.201
12.25,0.450,0.140,1.782
12.30,0.462,0.225,0.489
12.35,0.476,0.208,-1.168
12.40,0.488,0.087,-2.357
12.45,0.487,-0.079,-2.405
12.50,0.478,-0.201,-1.343
12.55,0.464,-0.241,0.339
12.60,0.449,-0.163,1.903
12.65,0.444,-0.007,2.502
12.70,0.449,0.140,1.897
12.75,0.461,0.219,0.455
12.80,0.475,0.192,-1.148
12.85,0.484,0.077,-2.158
12.90,0.484,-0.067,-2.164
12.95,0.476,-0.180,-1.217
13.00,0.462,-0.212,0.262
13.05,0.450,-0.148,1.614
13.10,0.445,-0.019,2.235
13.15,0.448,0.118,1.882
13.20,0.459,0.204,0.730
13.25,0.472,0.203,-0.723
13.30,0.482,0.122,-1.925
13.35,0.487,-0.023,-2.337
13.40,0.480,-0.162,-1.640
13.45,0.468,-0.223,-0.150
13.50,0.453,-0.176,1.336
13.55,0.446,-0.052,2.049
13.60,0.448,0.068,2.044
13.65,0.459,0.150,1.857
