"Time","Position","Velocity","Acceleration"
0.05,0.390,-0.005,0.055
0.10,0.390,-0.002,0.045
0.15,0.390,0.001,0.020
0.20,0.390,0.001,-0.021
0.25,0.390,-0.002,-0.035
0.30,0.390,-0.004,-0.006
0.35,0.389,-0.003,0.028
0.40,0.389,0.000,0.038
0.45,0.389,0.002,0.023
0.50,0.390,0.002,0.000
0.55,0.390,0.001,-0.009
0.60,0.390,0.001,-0.009
0.65,0.390,0.001,-0.014
0.70,0.390,-0.001,-0.016
0.75,0.390,-0.002,-0.005
0.80,0.390,-0.001,0.005
0.85,0.390,0.000,-0.006
0.90,0.390,-0.002,-0.018
0.95,0.389,-0.002,-0.019
1.00,0.389,-0.003,-0.030
1.05,0.389,-0.006,-0.022
1.10,0.389,-0.007,0.015
1.15,0.388,-0.004,0.041
1.20,0.388,-0.001,0.036
1.25,0.388,0.000,0.015
1.30,0.388,0.000,0.004
1.35,0.388,0.000,0.001
1.40,0.388,0.000,0.004
1.45,0.388,0.001,-0.008
1.50,0.388,0.002,-0.076
1.55,0.389,-0.004,-0.196
1.60,0.388,-0.018,-0.297
1.65,0.387,-0.039,-0.283
1.70,0.384,-0.055,-0.088
1.75,0.381,-0.052,0.195
1.80,0.378,-0.030,0.405
1.85,0.378,-0.010,0.662
1.90,0.378,0.018,1.317
1.95,0.378,0.096,2.396
2.00,0.383,0.262,3.220
2.05,0.400,0.494,2.483
2.10,0.440,0.578,0.312
2.15,0.464,0.518,-1.916
2.20,0.494,0.372,-3.808
2.25,0.507,0.109,-4.861
2.30,0.507,-0.182,-4.315
2.35,0.485,-0.399,-2.083
2.40,0.458,-0.428,0.986
2.45,0.435,-0.278,3.561
2.50,0.425,-0.007,4.608
2.55,0.434,0.274,3.563
2.60,0.459,0.423,0.868
2.65,0.485,0.372,-2.111
2.70,0.503,0.161,-3.968
2.75,0.503,-0.104,-4.003
2.80,0.490,-0.310,-2.397
2.85,0.466,-0.379,0.078
2.90,0.445,-0.295,2.431
2.95,0.432,-0.097,3.823
3.00,0.433,0.154,3.629
3.05,0.450,0.340,1.759
3.10,0.474,0.367,-0.939
3.15,0.494,0.225,-3.171
3.20,0.501,-0.015,-3.927
3.25,0.492,-0.243,-2.933
3.30,0.472,-0.363,-0.672
3.35,0.449,-0.322,1.858
3.40,0.433,-0.140,3.543
3.45,0.432,0.101,3.642
3.50,0.446,0.294,2.125
3.55,0.468,0.354,-0.316
3.60,0.488,0.254,-2.561
3.65,0.498,0.046,-3.629
3.70,0.493,-0.179,-3.086
3.75,0.476,-0.322,-1.174
3.80,0.455,-0.317,1.219
3.85,0.438,-0.174,3.031
3.90,0.434,0.044,3.514
3.95,0.444,0.243,2.465
4.00,0.463,0.336,0.350
4.05,0.483,0.287,-1.962
4.10,0.497,0.105,-3.449
4.15,0.496,-0.126,-3.364
4.20,0.482,-0.300,-1.720
4.25,0.460,-0.333,0.700
4.30,0.442,-0.210,2.694
4.35,0.435,-0.006,3.401
4.40,0.442,0.194,2.602
4.45,0.459,0.303,0.671
4.50,0.478,0.272,-1.502
4.55,0.491,0.120,-2.943
4.60,0.492,-0.080,-3.053
4.65,0.482,-0.243,-1.822
4.70,0.463,-0.297,0.208
4.75,0.446,-0.217,2.124
4.80,0.437,-0.043,3.080
4.85,0.441,0.150,2.667
4.90,0.455,0.275,1.082
4.95,0.474,0.277,-0.948
5.00,0.488,0.159,-2.515
5.05,0.492,-0.020,-3.011
5.10,0.486,-0.194,-2.254
5.15,0.470,-0.296,-0.384
5.20,0.450,-0.247,1.764
5.25,0.440,-0.078,3.002
5.30,0.441,0.117,2.791
5.35,0.454,0.260,1.259
5.40,0.473,0.266,-0.808
5.45,0.485,0.153,-2.337
5.50,0.491,-0.013,-2.819
5.55,0.484,-0.179,-2.113
5.60,0.469,-0.266,-0.461
5.65,0.452,-0.234,1.392
5.70,0.441,-0.098,2.599
5.75,0.441,0.076,2.646
5.80,0.450,0.216,1.538
5.85,0.467,0.260,-0.258
5.90,0.482,0.185,-1.920
5.95,0.489,0.029,-2.695
6.00,0.485,-0.137,-2.265
6.05,0.472,-0.242,-0.815
6.10,0.456,-0.235,1.015
6.15,0.444,-0.120,2.386
6.20,0.442,0.051,2.666
6.25,0.450,0.200,1.720
6.30,0.465,0.262,-0.081
6.35,0.482,0.189,-1.825
6.40,0.488,0.034,-2.603
6.45,0.485,-0.120,-2.234
6.50,0.474,-0.228,-0.941
6.55,0.458,-0.233,0.770
6.60,0.446,-0.135,2.115
6.65,0.442,0.019,2.517
6.70,0.448,0.165,1.803
6.75,0.462,0.235,0.271
6.80,0.477,0.197,-1.369
6.85,0.486,0.071,-2.373
6.90,0.485,-0.087,-2.299
6.95,0.475,-0.205,-1.180
7.00,0.460,-0.228,0.469
7.05,0.448,-0.147,1.886
7.10,0.443,-0.002,2.441
7.15,0.448,0.144,1.902
7.20,0.460,0.226,0.498
7.25,0.475,0.203,-1.120
7.30,0.484,0.090,-2.193
7.35,0.485,-0.061,-2.241
7.40,0.477,-0.178,-1.279
7.45,0.464,-0.213,0.238
7.50,0.451,-0.145,1.578
7.55,0.447,-0.023,2.198
7.60,0.448,0.110,1.938
7.65,0.459,0.209,0.778
7.70,0.473,0.214,-0.903
7.75,0.486,0.102,-2.195
7.80,0.486,-0.059,-2.344
7.85,0.478,-0.179,-1.410
7.90,0.465,-0.222,0.083
7.95,0.452,-0.168,1.516
8.00,0.445,-0.041,2.264
8.05,0.447,0.102,2.004
8.10,0.457,0.198,0.853
8.15,0.470,0.204,-0.669
8.20,0.481,0.117,-1.876
8.25,0.484,-0.022,-2.222
8.30,0.479,-0.149,-1.560
8.35,0.467,-0.208,-0.191
8.40,0.454,-0.171,1.261
8.45,0.446,-0.057,2.145
8.50,0.447,0.083,2.097
8.55,0.456,0.191,1.146
8.60,0.469,0.224,-0.382
8.65,0.483,0.150,-1.821
8.70,0.487,0.003,-2.399
8.75,0.483,-0.137,-1.905
8.80,0.471,-0.221,-0.669
8.85,0.456,-0.206,0.586
8.90,0.447,-0.125,1.216
8.95,0.447,-0.052,1.427
