"Time","Position","Velocity","Acceleration"
0.05,0.385,-0.004,0.026
0.10,0.384,-0.003,0.038
0.15,0.384,-0.001,0.058
0.20,0.384,0.002,0.089
0.25,0.384,0.007,0.124
0.30,0.385,0.019,0.069
0.35,0.387,0.018,-0.062
0.40,0.387,0.008,-0.116
0.45,0.387,0.003,-0.093
0.50,0.387,-0.001,-0.051
0.55,0.387,-0.002,-0.010
0.60,0.387,-0.001,0.012
0.65,0.387,0.000,0.012
0.70,0.387,0.000,-0.001
0.75,0.387,0.000,-0.016
0.80,0.387,-0.002,-0.015
0.85,0.387,-0.003,0.018
0.90,0.386,0.000,0.058
0.95,0.387,0.004,0.063
1.00,0.387,0.008,0.030
1.05,0.388,0.008,-0.022
1.10,0.388,0.004,-0.051
1.15,0.388,0.001,-0.045
1.20,0.388,-0.001,-0.028
1.25,0.388,-0.002,-0.007
1.30,0.388,-0.001,0.007
1.35,0.388,0.000,0.013
1.40,0.388,0.000,0.018
1.45,0.388,0.002,0.013
1.50,0.388,0.002,-0.002
1.55,0.388,0.001,-0.003
1.60,0.388,0.001,0.006
1.65,0.388,0.003,-0.033
1.70,0.388,0.001,-0.137
1.75,0.389,-0.009,-0.263
1.80,0.388,-0.029,-0.310
1.85,0.386,-0.047,-0.214
1.90,0.383,-0.053,-0.038
1.95,0.380,-0.050,0.178
2.00,0.378,-0.040,0.540
2.05,0.375,-0.012,1.317
2.10,0.376,0.068,2.336
2.15,0.377,0.223,2.834
2.20,0.386,0.527,0.209
2.25,0.458,0.338,-3.796
2.30,0.435,-0.115,-3.085
2.35,0.420,-0.121,0.563
2.40,0.416,0.042,2.745
2.45,0.424,0.249,2.943
2.50,0.443,0.391,1.676
2.55,0.468,0.436,-0.162
2.60,0.492,0.373,-1.977
2.65,0.509,0.218,-3.299
2.70,0.516,0.009,-3.803
2.75,0.510,-0.202,-3.359
2.80,0.493,-0.361,-2.087
2.85,0.470,-0.431,-0.304
2.90,0.446,-0.395,1.555
2.95,0.426,-0.260,3.032
3.00,0.417,-0.060,3.750
3.05,0.420,0.154,3.527
3.10,0.434,0.329,2.433
3.15,0.456,0.422,0.738
3.20,0.480,0.410,-1.139
3.25,0.501,0.296,-2.726
3.30,0.513,0.109,-3.617
3.35,0.513,-0.103,-3.607
3.40,0.502,-0.288,-2.719
3.45,0.481,-0.403,-1.163
3.50,0.457,-0.416,0.676
3.55,0.436,-0.328,2.346
3.60,0.421,-0.158,3.446
3.65,0.418,0.052,3.683
3.70,0.427,0.249,2.991
3.75,0.446,0.382,1.559
3.80,0.469,0.420,-0.252
3.85,0.492,0.354,-1.997
3.90,0.508,0.199,-3.223
3.95,0.514,-0.002,-3.643
4.00,0.508,-0.201,-3.190
4.05,0.492,-0.353,-1.952
4.10,0.469,-0.416,-0.227
4.15,0.446,-0.379,1.561
4.20,0.427,-0.245,2.982
4.25,0.419,-0.049,3.649
4.30,0.422,0.158,3.387
4.35,0.436,0.324,2.282
4.40,0.458,0.409,0.627
4.45,0.481,0.393,-1.175
4.50,0.501,0.280,-2.686
4.55,0.512,0.097,-3.528
4.60,0.512,-0.110,-3.485
4.65,0.500,-0.288,-2.570
4.70,0.480,-0.393,-1.029
4.75,0.457,-0.400,0.747
4.80,0.436,-0.310,2.338
4.85,0.422,-0.143,3.361
4.90,0.420,0.061,3.547
4.95,0.429,0.249,2.840
5.00,0.447,0.374,1.425
5.05,0.470,0.406,-0.342
5.10,0.492,0.336,-2.020
5.15,0.508,0.182,-3.179
5.20,0.512,-0.016,-3.528
5.25,0.506,-0.206,-3.015
5.30,0.489,-0.347,-1.775
5.35,0.467,-0.402,-0.098
5.40,0.445,-0.358,1.607
5.45,0.428,-0.225,2.924
5.50,0.420,-0.035,3.511
5.55,0.424,0.163,3.212
5.60,0.438,0.318,2.122
5.65,0.459,0.396,0.510
5.70,0.482,0.375,-1.233
5.75,0.501,0.260,-2.661
5.80,0.511,0.081,-3.412
5.85,0.509,-0.116,-3.319
5.90,0.498,-0.284,-2.418
5.95,0.478,-0.382,-0.927
6.00,0.456,-0.387,0.801
6.05,0.436,-0.295,2.341
6.10,0.423,-0.128,3.295
6.15,0.421,0.069,3.417
6.20,0.431,0.249,2.686
6.25,0.449,0.365,1.293
6.30,0.471,0.391,-0.410
6.35,0.492,0.320,-2.005
6.40,0.506,0.170,-3.102
6.45,0.511,-0.023,-3.424
6.50,0.504,-0.208,-2.891
6.55,0.488,-0.341,-1.644
6.60,0.466,-0.389,0.002
6.65,0.445,-0.341,1.639
6.70,0.429,-0.208,2.874
6.75,0.422,-0.024,3.394
6.80,0.426,0.166,3.065
6.85,0.440,0.314,1.984
6.90,0.461,0.385,0.409
6.95,0.483,0.359,-1.270
7.00,0.500,0.244,-2.623
7.05,0.509,0.070,-3.320
7.10,0.508,-0.122,-3.197
7.15,0.496,-0.283,-2.278
7.20,0.477,-0.373,-0.793
7.25,0.455,-0.370,0.882
7.30,0.436,-0.275,2.332
7.35,0.425,-0.113,3.205
