"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,0.946,0.350,0.139,3.616
0.03,2.370,,,
0.04,2.370,0.352,0.201,4.301
0.05,2.375,,,
0.06,2.375,0.357,0.297,5.057
0.07,2.375,,,
0.08,2.375,0.364,0.415,5.273
0.09,2.370,,,
0.10,2.375,0.373,0.523,4.711
0.11,2.375,,,
0.12,2.370,0.385,0.609,3.730
0.13,2.375,,,
0.14,2.375,0.398,0.674,2.569
0.15,2.375,,,
0.16,2.375,0.412,0.715,1.209
0.17,2.370,,,
0.18,2.375,0.427,0.726,-0.324
0.19,2.375,,,
0.20,2.375,0.442,0.701,-1.793
0.21,2.370,,,
0.22,2.375,0.456,0.648,-2.972
0.23,2.375,,,
0.24,2.375,0.468,0.579,-3.991
0.25,2.370,,,
0.26,2.370,0.479,0.490,-5.005
0.27,2.375,,,
0.28,2.375,0.488,0.377,-5.856
0.29,2.370,,,
0.30,2.375,0.494,0.248,-6.300
0.31,2.375,,,
0.32,2.375,0.498,0.119,-6.443
0.33,2.375,,,
0.34,2.375,0.499,-0.009,-6.562
0.35,2.370,,,
0.36,2.375,0.498,-0.143,-6.586
0.37,2.375,,,
0.38,2.370,0.494,-0.279,-6.242
0.39,2.375,,,
0.40,2.370,0.486,-0.401,-5.496
0.41,2.375,,,
0.42,2.375,0.477,-0.500,-4.636
0.43,2.370,,,
0.44,2.375,0.466,-0.585,-3.805
0.45,2.370,,,
0.46,2.375,0.453,-0.655,-2.825
0.47,2.375,,,
0.48,2.370,0.440,-0.702,-1.624
0.49,2.375,,,
0.50,2.375,0.425,-0.723,-0.225
0.51,2.375,,,
0.52,2.375,0.410,-0.710,1.163
0.53,2.375,,,
0.54,2.375,0.396,-0.673,2.396
0.55,2.375,,,
0.56,2.370,0.383,-0.615,3.651
0.57,2.375,,,
0.58,2.370,0.371,-0.528,4.899
0.59,2.370,,,
0.60,2.375,0.361,-0.415,5.896
0.61,2.375,,,
0.62,2.375,0.354,-0.285,6.519
0.63,2.375,,,
0.64,2.370,0.350,-0.151,6.905
0.65,2.370,,,
0.66,1.006,0.348,-0.008,7.143
0.67,2.370,,,
0.68,2.370,0.349,0.141,7.053
0.69,2.375,,,
0.70,2.375,0.354,0.281,6.578
0.71,2.375,,,
0.72,2.375,0.361,0.407,5.895
0.73,2.375,,,
0.74,2.375,0.370,0.519,5.064
0.75,2.375,,,
0.76,2.370,0.382,0.612,4.057
0.77,2.375,,,
0.78,2.375,0.395,0.686,2.792
0.79,2.375,,,
0.80,2.370,0.410,0.728,1.310
0.81,2.375,,,
0.82,2.375,0.425,0.737,-0.140
0.83,2.375,,,
0.84,2.370,0.440,0.720,-1.475
0.85,2.375,,,
0.86,2.375,0.454,0.676,-2.693
0.87,2.370,,,
0.88,2.370,0.467,0.612,-3.890
0.89,2.375,,,
0.90,2.375,0.479,0.519,-5.014
0.91,2.375,,,
0.92,2.375,0.488,0.407,-5.866
0.93,2.375,,,
0.94,2.375,0.496,0.281,-6.450
0.95,2.375,,,
0.96,2.375,0.500,0.139,-6.550
0.97,2.375,,,
0.98,2.375,0.501,0.017,-6.529
0.99,2.375,,,
1.00,2.375,0.501,-0.114,-6.757
1.01,2.375,,,
1.02,2.375,0.496,-0.261,-6.553
