"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.370,0.407,0.032,0.521
0.03,2.375,,,
0.04,2.370,0.408,0.042,0.507
0.05,2.370,,,
0.06,2.375,0.409,0.054,0.454
0.07,2.375,,,
0.08,2.375,0.410,0.061,0.378
0.09,2.375,,,
0.10,2.370,0.411,0.068,0.341
0.11,2.375,,,
0.12,2.370,0.413,0.075,0.299
0.13,2.375,,,
0.14,2.365,0.414,0.081,0.210
0.15,0.586,,,
0.16,2.314,0.416,0.082,0.155
0.17,2.375,,,
0.18,2.375,0.417,0.086,0.136
0.19,2.375,,,
0.20,2.375,0.419,0.091,-0.024
0.21,2.375,,,
0.22,2.370,0.421,0.085,-0.197
0.23,2.375,,,
0.24,2.380,0.423,0.081,-0.262
0.25,2.370,,,
0.26,2.375,0.424,0.074,-0.313
0.27,2.375,,,
0.28,2.375,0.426,0.067,-0.339
0.29,2.375,,,
0.30,2.370,0.427,0.063,-0.470
0.31,2.375,,,
0.32,2.370,0.428,0.049,-0.593
0.33,2.375,,,
0.34,2.375,0.429,0.036,-0.551
0.35,2.375,,,
0.36,2.375,0.430,0.028,-0.577
0.37,2.375,,,
0.38,2.370,0.430,0.014,-0.633
0.39,2.375,,,
0.40,2.375,0.430,0.001,-0.598
0.41,2.375,,,
0.42,2.375,0.430,-0.011,-0.538
0.43,2.375,,,
0.44,2.375,0.430,-0.021,-0.463
0.45,2.375,,,
0.46,2.370,0.429,-0.027,-0.471
0.47,2.375,,,
0.48,2.375,0.429,-0.039,-0.508
0.49,2.375,,,
0.50,2.375,0.428,-0.050,-0.460
0.51,2.375,,,
0.52,2.375,0.427,-0.057,-0.437
0.53,2.370,,,
0.54,2.375,0.426,-0.068,-0.385
0.55,2.375,,,
0.56,2.370,0.424,-0.075,-0.230
0.57,2.375,,,
0.58,2.370,0.423,-0.075,-0.137
0.59,2.375,,,
0.60,2.375,0.421,-0.078,-0.127
0.61,2.370,,,
0.62,2.370,0.419,-0.082,-0.070
0.63,2.370,,,
0.64,2.370,0.418,-0.081,-0.001
0.65,2.375,,,
0.66,2.370,0.416,-0.081,0.070
0.67,2.375,,,
0.68,2.375,0.414,-0.079,0.194
0.69,2.370,,,
0.70,2.370,0.413,-0.074,0.313
0.71,2.370,,,
0.72,2.375,0.411,-0.067,0.414
0.73,2.375,,,
0.74,2.370,0.410,-0.055,0.423
0.75,2.375,,,
0.76,2.370,0.409,-0.049,0.384
0.77,2.375,,,
0.78,2.370,0.408,-0.042,0.438
0.79,2.375,,,
0.80,2.375,0.407,-0.031,0.500
0.81,2.370,,,
0.82,2.375,0.407,-0.022,0.548
0.83,2.375,,,
0.84,2.370,0.407,-0.010,0.616
0.85,2.375,,,
0.86,2.375,0.407,0.003,0.674
0.87,2.375,,,
0.88,2.375,0.407,0.017,0.700
0.89,2.370,,,
0.90,2.375,0.407,0.034,0.589
0.91,2.375,,,
0.92,2.375,0.408,0.043,0.394
0.93,2.375,,,
0.94,2.370,0.409,0.048,0.294
0.95,2.375,,,
0.96,2.370,0.410,0.051,0.350
0.97,2.375,,,
0.98,2.370,0.411,0.060,0.464
0.99,2.375,,,
1.00,2.375,0.412,0.074,0.393
1.01,2.375,,,
1.02,2.375,0.414,0.078,0.201
1.03,2.365,,,
1.04,0.454,0.416,0.080,0.092
1.05,2.370,,,
1.06,2.375,0.417,0.081,0.033
1.07,2.370,,,
1.08,2.375,0.419,0.081,-0.005
1.09,2.375,,,
1.10,2.375,0.421,0.082,-0.077
1.11,2.375,,,
1.12,2.375,0.422,0.078,-0.161
1.13,2.375,,,
1.14,2.370,0.424,0.075,-0.223
1.15,2.375,,,
1.16,2.375,0.425,0.069,-0.285
1.17,2.375,,,
1.18,2.375,0.426,0.063,-0.348
1.19,2.375,,,
1.20,2.375,0.428,0.057,-0.495
1.21,2.375,,,
1.22,2.370,0.429,0.043,-0.611
1.23,2.375,,,
1.24,2.375,0.429,0.030,-0.605
1.25,2.370,,,
1.26,2.375,0.430,0.018,-0.566
1.27,2.370,,,
1.28,2.370,0.430,0.007,-0.500
1.29,2.375,,,
1.30,2.370,0.430,0.000,-0.489
1.31,2.375,,,
1.32,2.370,0.430,-0.011,-0.561
1.33,2.375,,,
1.34,2.375,0.430,-0.024,-0.579
1.35,2.370,,,
1.36,2.375,0.429,-0.035,-0.536
1.37,2.375,,,
1.38,2.375,0.429,-0.046,-0.465
1.39,2.375,,,
1.40,2.370,0.427,-0.054,-0.379
1.41,2.375,,,
1.42,2.370,0.426,-0.059,-0.397
1.43,2.370,,,
1.44,2.370,0.425,-0.071,-0.369
1.45,2.375,,,
1.46,2.375,0.423,-0.076,-0.212
1.47,2.375,,,
1.48,2.375,0.422,-0.079,-0.083
1.49,2.375,,,
1.50,2.370,0.420,-0.079,-0.006
1.51,2.375,,,
1.52,2.375,0.419,-0.077,-0.039
1.53,2.375,,,
1.54,2.375,0.417,-0.081,-0.020
1.55,2.370,,,
1.56,2.375,0.415,-0.080,0.093
1.57,2.370,,,
1.58,2.375,0.414,-0.077,0.179
1.59,2.375,,,
1.60,2.375,0.412,-0.072,0.268
1.61,2.375,,,
1.62,2.375,0.411,-0.067,0.371
1.63,2.370,,,
1.64,2.375,0.410,-0.058,0.488
1.65,2.375,,,
1.66,2.375,0.409,-0.044,0.483
1.67,2.375,,,
1.68,2.370,0.408,-0.039,0.470
1.69,2.375,,,
1.70,2.370,0.407,-0.028,0.557
1.71,2.375,,,
1.72,2.375,0.407,-0.016,0.614
1.73,2.370,,,
1.74,2.375,0.406,-0.003,0.643
1.75,2.370,,,
1.76,2.375,0.407,0.013,0.553
1.77,2.375,,,
1.78,2.375,0.407,0.020,0.446
1.79,2.375,,,
1.80,2.375,0.407,0.028,0.452
1.81,2.375,,,
1.82,2.370,0.408,0.037,0.504
1.83,2.375,,,
1.84,2.375,0.409,0.048,0.541
1.85,2.370,,,
1.86,2.375,0.410,0.062,0.425
1.87,2.375,,,
1.88,2.370,0.411,0.066,0.260
1.89,2.375,,,
1.90,2.375,0.413,0.069,0.221
1.91,2.375,,,
1.92,2.339,0.414,0.073,0.269
1.93,0.510,,,
1.94,2.370,0.416,0.081,0.260
1.95,2.375,,,
1.96,2.370,0.418,0.087,0.098
1.97,2.375,,,
1.98,2.370,0.419,0.085,-0.058
1.99,2.375,,,
2.00,2.375,0.421,0.083,-0.146
2.01,2.370,,,
2.02,2.375,0.423,0.079,-0.228
2.03,2.375,,,
2.04,2.375,0.424,0.074,-0.284
2.05,2.375,,,
2.06,2.375,0.426,0.067,-0.322
2.07,2.375,,,
2.08,2.370,0.427,0.061,-0.350
2.09,2.375,,,
2.10,2.370,0.428,0.054,-0.398
2.11,2.375,,,
2.12,2.375,0.429,0.044,-0.448
2.13,2.375,,,
2.14,2.375,0.430,0.038,-0.573
2.15,2.375,,,
2.16,2.370,0.431,0.022,-0.714
2.17,2.375,,,
2.18,2.375,0.431,0.006,-0.715
2.19,2.370,,,
2.20,2.375,0.431,-0.008,-0.641
2.21,2.370,,,
2.22,2.375,0.430,-0.020,-0.534
2.23,2.370,,,
2.24,2.375,0.430,-0.027,-0.536
2.25,2.375,,,
2.26,2.370,0.429,-0.041,-0.554
2.27,2.375,,,
2.28,2.375,0.428,-0.052,-0.451
2.29,2.370,,,
2.30,2.375,0.427,-0.059,-0.344
2.31,2.370,,,
2.32,2.375,0.426,-0.065,-0.265
2.33,2.370,,,
2.34,2.375,0.425,-0.068,-0.285
2.35,2.375,,,
2.36,2.375,0.423,-0.077,-0.283
2.37,2.375,,,
2.38,2.370,0.421,-0.081,-0.171
2.39,2.375,,,
2.40,2.375,0.420,-0.084,-0.038
2.41,2.375,,,
2.42,2.375,0.418,-0.083,0.076
2.43,2.375,,,
2.44,2.370,0.417,-0.078,0.052
2.45,2.370,,,
2.46,2.370,0.415,-0.081,0.053
2.47,2.375,,,
2.48,2.375,0.413,-0.078,0.168
2.49,2.375,,,
2.50,2.375,0.412,-0.074,0.274
2.51,2.370,,,
2.52,2.375,0.410,-0.067,0.377
2.53,2.375,,,
2.54,2.370,0.409,-0.059,0.487
2.55,2.375,,,
2.56,2.375,0.408,-0.048,0.607
2.57,2.375,,,
2.58,2.375,0.407,-0.032,0.615
2.59,2.370,,,
2.60,2.375,0.407,-0.023,0.592
2.61,2.375,,,
2.62,2.370,0.406,-0.009,0.593
2.63,2.375,,,
2.64,2.370,0.406,0.002,0.565
2.65,2.375,,,
2.66,2.375,0.406,0.012,0.590
2.67,2.370,,,
2.68,2.375,0.407,0.024,0.630
2.69,2.370,,,
2.70,2.375,0.407,0.038,0.619
2.71,2.375,,,
2.72,2.375,0.408,0.052,0.483
2.73,2.375,,,
2.74,2.375,0.409,0.057,0.361
2.75,2.370,,,
2.76,2.375,0.411,0.065,0.312
2.77,2.370,,,
2.78,2.375,0.412,0.070,0.270
2.79,2.375,,,
2.80,2.375,0.413,0.075,0.259
2.81,2.152,,,
2.82,0.768,0.415,0.081,0.213
2.83,2.370,,,
2.84,2.370,0.417,0.084,0.144
2.85,2.370,,,
2.86,2.375,0.418,0.086,0.085
2.87,2.375,,,
2.88,2.375,0.420,0.087,0.015
2.89,2.375,,,
2.90,2.370,0.422,0.089,-0.156
2.91,2.375,,,
2.92,2.370,0.424,0.081,-0.325
2.93,2.375,,,
2.94,2.370,0.425,0.074,-0.394
2.95,2.375,,,
2.96,2.375,0.427,0.065,-0.443
2.97,2.370,,,
2.98,2.370,0.428,0.056,-0.484
2.99,2.375,,,
3.00,2.375,0.429,0.046,-0.552
3.01,2.375,,,
3.02,2.375,0.430,0.033,-0.587
3.03,2.375,,,
3.04,2.375,0.430,0.023,-0.646
3.05,2.370,,,
3.06,2.370,0.431,0.008,-0.707
3.07,2.375,,,
3.08,2.375,0.430,-0.007,-0.666
3.09,2.375,,,
3.10,2.375,0.430,-0.020,-0.592
3.11,2.375,,,
3.12,2.375,0.430,-0.031,-0.514
3.13,2.375,,,
3.14,2.375,0.429,-0.040,-0.448
3.15,2.375,,,
3.16,2.375,0.428,-0.048,-0.423
3.17,2.370,,,
3.18,2.370,0.427,-0.055,-0.486
3.19,2.375,,,
3.20,2.370,0.426,-0.069,-0.451
3.21,2.370,,,
3.22,2.375,0.424,-0.076,-0.294
3.23,2.375,,,
3.24,2.375,0.423,-0.080,-0.174
3.25,2.370,,,
3.26,2.375,0.421,-0.082,-0.075
3.27,2.370,,,
3.28,2.370,0.420,-0.083,-0.009
3.29,2.375,,,
3.30,2.375,0.418,-0.082,0.053
3.31,2.370,,,
3.32,2.375,0.416,-0.079,0.052
3.33,2.370,,,
3.34,2.375,0.415,-0.081,0.096
3.35,2.375,,,
3.36,2.370,0.413,-0.078,0.256
3.37,2.375,,,
3.38,2.370,0.412,-0.071,0.395
3.39,2.370,,,
3.40,2.375,0.410,-0.061,0.483
3.41,2.370,,,
3.42,2.375,0.409,-0.048,0.445
3.43,2.370,,,
3.44,2.375,0.408,-0.043,0.418
3.45,2.375,,,
3.46,2.375,0.407,-0.034,0.490
3.47,2.375,,,
3.48,2.375,0.407,-0.024,0.563
3.49,2.375,,,
3.50,2.375,0.406,-0.011,0.623
3.51,2.370,,,
3.52,2.375,0.406,0.002,0.652
3.53,2.370,,,
3.54,2.375,0.406,0.015,0.668
3.55,2.375,,,
3.56,2.370,0.407,0.031,0.570
3.57,2.375,,,
3.58,2.370,0.408,0.038,0.442
3.59,2.375,,,
3.60,2.375,0.408,0.047,0.393
3.61,2.370,,,
3.62,2.375,0.410,0.054,0.361
3.63,2.380,,,
3.64,2.375,0.411,0.061,0.361
3.65,2.375,,,
3.66,2.375,0.412,0.068,0.346
3.67,2.375,,,
3.68,2.375,0.413,0.075,0.287
3.69,2.370,,,
3.70,1.884,0.415,0.082,0.153
3.71,1.006,,,
3.72,2.375,0.417,0.081,0.052
3.73,2.375,,,
3.74,2.370,0.418,0.082,0.036
3.75,2.375,,,
3.76,2.370,0.420,0.082,0.007
3.77,2.375,,,
3.78,2.375,0.422,0.083,-0.076
3.79,2.370,,,
3.80,2.375,0.423,0.082,-0.280
3.81,2.370,,,
3.82,2.375,0.425,0.071,-0.431
3.83,2.370,,,
3.84,2.375,0.426,0.060,-0.396
3.85,2.375,,,
3.86,2.375,0.427,0.056,-0.385
3.87,2.370,,,
3.88,2.375,0.428,0.049,-0.547
3.89,2.370,,,
3.90,2.370,0.429,0.032,-0.653
3.91,2.375,,,
3.92,2.375,0.430,0.019,-0.590
3.93,2.375,,,
3.94,2.370,0.430,0.009,-0.523
3.95,2.375,,,
3.96,2.370,0.430,-0.001,-0.488
3.97,2.375,,,
3.98,2.375,0.430,-0.008,-0.538
3.99,2.370,,,
4.00,2.375,0.430,-0.023,-0.568
4.01,2.375,,,
4.02,2.370,0.429,-0.034,-0.486
4.03,2.375,,,
4.04,2.375,0.428,-0.041,-0.467
4.05,2.375,,,
4.06,2.375,0.428,-0.052,-0.448
4.07,2.375,,,
4.08,2.375,0.426,-0.060,-0.392
4.09,2.375,,,
4.10,2.375,0.425,-0.067,-0.363
4.11,2.375,,,
4.12,2.370,0.424,-0.075,-0.291
4.13,2.375,,,
4.14,2.375,0.422,-0.080,-0.189
4.15,2.375,,,
4.16,2.375,0.420,-0.082,-0.094
4.17,2.375,,,
4.18,2.375,0.419,-0.083,0.001
4.19,2.370,,,
4.20,2.370,0.417,-0.082,0.103
4.21,2.375,,,
4.22,2.370,0.416,-0.079,0.192
4.23,2.375,,,
4.24,2.375,0.414,-0.075,0.280
4.25,2.370,,,
4.26,2.375,0.412,-0.066,0.299
4.27,2.370,,,
4.28,2.375,0.411,-0.063,0.305
4.29,2.375,,,
4.30,2.370,0.410,-0.055,0.366
4.31,2.375,,,
4.32,2.370,0.409,-0.048,0.429
4.33,2.375,,,
4.34,2.370,0.408,-0.038,0.500
4.35,2.370,,,
4.36,2.375,0.407,-0.028,0.555
4.37,2.375,,,
4.38,2.375,0.407,-0.016,0.614
4.39,2.375,,,
4.40,2.370,0.407,-0.001,0.573
4.41,2.375,,,
4.42,2.370,0.407,0.007,0.509
4.43,2.375,,,
4.44,2.375,0.407,0.018,0.508
4.45,2.375,,,
4.46,2.375,0.408,0.028,0.465
4.47,2.375,,,
4.48,2.370,0.408,0.037,0.408
4.49,2.370,,,
4.50,2.370,0.409,0.044,0.375
4.51,2.375,,,
4.52,2.370,0.410,0.050,0.414
4.53,2.375,,,
4.54,2.375,0.411,0.061,0.451
4.55,2.370,,,
4.56,2.375,0.412,0.071,0.360
4.57,2.370,,,
4.58,2.375,0.414,0.076,0.201
4.59,1.625,,,
4.60,1.290,0.416,0.077,0.125
4.61,2.375,,,
4.62,2.375,0.417,0.081,0.068
4.63,2.375,,,
4.64,2.375,0.419,0.080,-0.007
4.65,2.370,,,
4.66,2.375,0.420,0.080,-0.043
4.67,2.375,,,
4.68,2.375,0.422,0.079,-0.109
4.69,2.375,,,
4.70,2.370,0.423,0.076,-0.194
4.71,2.375,,,
4.72,2.375,0.425,0.073,-0.352
4.73,2.370,,,
4.74,2.375,0.426,0.061,-0.466
4.75,2.375,,,
4.76,2.370,0.427,0.052,-0.455
4.77,2.375,,,
4.78,2.370,0.429,0.043,-0.471
4.79,2.375,,,
4.80,2.370,0.429,0.034,-0.543
4.81,2.375,,,
4.82,2.375,0.430,0.021,-0.600
4.83,2.370,,,
4.84,2.370,0.430,0.009,-0.590
4.85,2.375,,,
4.86,2.370,0.430,-0.003,-0.554
4.87,2.375,,,
4.88,2.375,0.430,-0.013,-0.534
4.89,2.375,,,
4.90,2.375,0.430,-0.024,-0.524
4.91,2.375,,,
4.92,2.375,0.429,-0.034,-0.490
4.93,2.375,,,
4.94,2.370,0.428,-0.042,-0.508
4.95,2.375,,,
4.96,2.370,0.427,-0.056,-0.479
4.97,2.370,,,
4.98,2.375,0.426,-0.063,-0.390
4.99,2.375,,,
5.00,2.375,0.425,-0.070,-0.353
5.01,2.375,,,
5.02,2.375,0.423,-0.078,-0.262
5.03,2.375,,,
5.04,2.375,0.422,-0.082,-0.129
5.05,2.375,,,
5.06,2.375,0.420,-0.082,-0.024
5.07,2.375,,,
5.08,2.370,0.418,-0.080,-0.041
5.09,2.375,,,
5.10,2.375,0.417,-0.084,-0.046
5.11,2.370,,,
5.12,2.375,0.415,-0.086,0.141
5.13,2.375,,,
5.14,2.370,0.413,-0.079,0.347
5.15,2.375,,,
5.16,2.370,0.412,-0.068,0.359
5.17,2.375,,,
5.18,2.375,0.411,-0.064,0.333
5.19,2.370,,,
5.20,2.375,0.409,-0.057,0.405
5.21,2.375,,,
5.22,2.370,0.408,-0.048,0.493
5.23,2.375,,,
5.24,2.370,0.407,-0.036,0.553
5.25,2.375,,,
5.26,2.375,0.407,-0.025,0.595
5.27,2.375,,,
5.28,2.370,0.406,-0.013,0.660
5.29,2.370,,,
5.30,2.375,0.406,0.002,0.687
5.31,2.370,,,
5.32,2.375,0.406,0.015,0.672
5.33,2.375,,,
5.34,2.370,0.407,0.030,0.588
5.35,2.375,,,
5.36,2.375,0.408,0.038,0.509
5.37,2.370,,,
5.38,2.375,0.408,0.049,0.472
5.39,2.370,,,
5.40,2.370,0.410,0.058,0.393
5.41,2.375,,,
5.42,2.370,0.411,0.065,0.328
5.43,2.375,,,
5.44,2.370,0.412,0.070,0.302
5.45,2.375,,,
5.46,2.370,0.414,0.077,0.261
5.47,2.370,,,
5.48,1.351,0.415,0.081,0.193
5.49,1.554,,,
5.50,2.370,0.417,0.084,0.144
5.51,2.375,,,
5.52,2.370,0.419,0.090,-0.006
5.53,2.375,,,
5.54,2.375,0.421,0.084,-0.162
5.55,2.375,,,
5.56,2.370,0.422,0.080,-0.197
5.57,2.375,,,
5.58,2.375,0.424,0.077,-0.252
5.59,2.370,,,
5.60,2.375,0.425,0.071,-0.338
5.61,2.375,,,
5.62,2.375,0.427,0.063,-0.417
5.63,2.375,,,
5.64,2.375,0.428,0.054,-0.489
5.65,2.375,,,
5.66,2.375,0.429,0.043,-0.536
5.67,2.370,,,
5.68,2.375,0.429,0.032,-0.560
5.69,2.375,,,
5.70,2.370,0.430,0.021,-0.576
5.71,2.375,,,
5.72,2.370,0.430,0.008,-0.547
5.73,2.375,,,
5.74,2.375,0.430,0.001,-0.592
5.75,2.370,,,
5.76,2.375,0.430,-0.015,-0.635
5.77,2.370,,,
5.78,2.370,0.430,-0.027,-0.573
5.79,2.370,,,
5.80,2.375,0.429,-0.038,-0.499
5.81,2.375,,,
5.82,2.375,0.428,-0.048,-0.411
5.83,2.370,,,
5.84,2.370,0.427,-0.053,-0.388
5.85,2.370,,,
5.86,2.375,0.426,-0.062,-0.415
5.87,2.375,,,
5.88,2.370,0.425,-0.071,-0.394
5.89,2.375,,,
5.90,2.375,0.423,-0.079,-0.288
5.91,2.375,,,
5.92,2.375,0.422,-0.085,-0.089
5.93,2.370,,,
5.94,2.375,0.420,-0.082,0.056
5.95,2.370,,,
5.96,2.375,0.418,-0.078,0.025
5.97,2.370,,,
5.98,2.375,0.417,-0.082,0.025
5.99,2.375,,,
6.00,2.375,0.415,-0.080,0.137
6.01,2.370,,,
6.02,2.375,0.414,-0.076,0.238
6.03,2.375,,,
6.04,2.375,0.412,-0.070,0.307
6.05,2.370,,,
6.06,2.375,0.411,-0.063,0.365
6.07,2.375,,,
6.08,2.370,0.409,-0.055,0.447
6.09,2.375,,,
6.10,2.375,0.408,-0.046,0.542
6.11,2.375,,,
6.12,2.380,0.407,-0.034,0.625
6.13,2.370,,,
6.14,2.375,0.407,-0.018,0.588
6.15,2.375,,,
6.16,2.375,0.407,-0.009,0.499
6.17,2.375,,,
6.18,2.370,0.407,0.000,0.497
6.19,2.375,,,
6.20,2.375,0.407,0.010,0.543
6.21,2.370,,,
6.22,2.375,0.407,0.022,0.567
6.23,2.375,,,
6.24,2.375,0.408,0.033,0.543
6.25,2.375,,,
6.26,2.375,0.408,0.044,0.488
6.27,2.375,,,
6.28,2.370,0.410,0.053,0.424
6.29,2.370,,,
6.30,2.375,0.411,0.061,0.386
6.31,2.370,,,
6.32,2.375,0.412,0.068,0.353
6.33,2.375,,,
6.34,2.375,0.413,0.075,0.289
6.35,2.370,,,
6.36,2.375,0.415,0.082,0.116
6.37,1.078,,,
6.38,1.828,0.417,0.079,-0.030
6.39,2.375,,,
6.40,2.375,0.418,0.077,-0.013
6.41,2.370,,,
6.42,2.375,0.420,0.079,0.009
6.43,2.375,,,
6.44,2.370,0.421,0.080,-0.054
6.45,2.375,,,
6.46,2.370,0.423,0.079,-0.213
6.47,2.375,,,
6.48,2.370,0.425,0.070,-0.324
6.49,2.375,,,
6.50,2.375,0.426,0.064,-0.336
6.51,2.370,,,
6.52,2.375,0.427,0.057,-0.380
6.53,2.375,,,
6.54,2.370,0.428,0.049,-0.462
6.55,2.375,,,
6.56,2.375,0.429,0.039,-0.539
6.57,2.375,,,
6.58,2.370,0.430,0.027,-0.578
6.59,2.375,,,
6.60,2.375,0.430,0.015,-0.576
6.61,2.375,,,
6.62,2.375,0.430,0.004,-0.543
6.63,2.375,,,
6.64,2.370,0.430,-0.007,-0.524
6.65,2.370,,,
6.66,2.375,0.430,-0.018,-0.508
6.67,2.370,,,
6.68,2.375,0.430,-0.025,-0.553
6.69,2.370,,,
6.70,2.375,0.429,-0.040,-0.593
6.71,2.370,,,
6.72,2.375,0.428,-0.052,-0.518
6.73,2.375,,,
6.74,2.370,0.427,-0.061,-0.407
6.75,2.375,,,
6.76,2.370,0.425,-0.068,-0.281
6.77,2.370,,,
6.78,2.375,0.424,-0.072,-0.179
6.79,2.370,,,
