"Time","Potential","Position","Velocity","Acceleration"
0.01,0.064,,,
0.02,0.064,0.344,0.003,-0.168
0.03,0.064,,,
0.04,0.064,0.344,0.000,-0.134
0.05,0.064,,,
0.06,0.064,0.344,-0.004,-0.045
0.07,0.064,,,
0.08,0.064,0.344,-0.003,0.090
0.09,0.064,,,
0.10,0.064,0.344,0.003,0.076
0.11,0.064,,,
0.12,0.064,0.344,0.001,-0.007
0.13,0.064,,,
0.14,0.064,0.344,0.000,0.006
0.15,0.064,,,
0.16,0.064,0.344,0.003,-0.021
0.17,0.064,,,
0.18,0.064,0.344,-0.001,-0.030
0.19,0.064,,,
0.20,0.064,0.344,0.000,0.039
0.21,0.064,,,
0.22,0.064,0.344,0.003,0.017
0.23,0.064,,,
0.24,0.064,0.344,0.000,0.010
0.25,0.064,,,
0.26,0.064,0.344,0.001,0.069
0.27,0.064,,,
0.28,0.064,0.344,0.004,0.052
0.29,0.064,,,
0.30,0.064,0.344,0.004,0.030
0.31,0.064,,,
0.32,0.064,0.344,0.005,0.038
0.33,0.064,,,
0.34,0.064,0.344,0.005,0.061
0.35,0.064,,,
0.36,0.064,0.344,0.007,0.113
0.37,0.064,,,
0.38,0.064,0.345,0.011,0.090
0.39,0.064,,,
0.40,0.064,0.345,0.010,0.071
0.41,0.064,,,
0.42,0.064,0.345,0.012,0.118
0.43,0.064,,,
0.44,0.064,0.345,0.017,0.085
0.45,0.064,,,
0.46,0.064,0.346,0.015,0.084
0.47,0.059,,,
0.48,0.064,0.346,0.017,0.192
0.49,0.064,,,
0.50,0.064,0.346,0.026,0.174
0.51,0.064,,,
0.52,0.064,0.347,0.026,0.075
0.53,0.064,,,
0.54,0.064,0.347,0.027,0.027
0.55,0.064,,,
0.56,0.064,0.348,0.027,-0.031
0.57,0.064,,,
0.58,0.064,0.349,0.026,-0.103
0.59,0.064,,,
0.60,0.064,0.349,0.024,-0.227
0.61,0.064,,,
0.62,0.064,0.350,0.017,-0.360
0.63,0.064,,,
0.64,0.064,0.350,0.008,-0.380
0.65,0.064,,,
0.66,0.064,0.350,0.001,-0.349
0.67,0.064,,,
0.68,0.064,0.350,-0.006,-0.317
0.69,0.064,,,
0.70,0.064,0.350,-0.012,-0.253
0.71,0.064,,,
0.72,0.064,0.349,-0.015,-0.235
0.73,0.059,,,
0.74,0.064,0.349,-0.022,-0.167
0.75,0.064,,,
0.76,0.064,0.348,-0.025,0.052
0.77,0.064,,,
0.78,0.064,0.348,-0.020,0.245
0.79,0.064,,,
0.80,0.064,0.348,-0.012,0.272
0.81,0.064,,,
0.82,0.064,0.347,-0.008,0.242
0.83,0.064,,,
0.84,0.064,0.347,-0.002,0.194
0.85,0.064,,,
0.86,0.064,0.347,0.001,0.116
0.87,0.064,,,
0.88,0.064,0.347,0.002,0.084
0.89,0.064,,,
0.90,0.064,0.348,0.003,0.088
0.91,0.064,,,
0.92,0.064,0.347,0.005,0.107
0.93,0.064,,,
0.94,0.064,0.348,0.010,0.038
0.95,0.064,,,
0.96,0.064,0.348,0.007,-0.038
0.97,0.064,,,
0.98,0.064,0.348,0.006,-0.007
0.99,0.064,,,
1.00,0.064,0.348,0.006,0.034
1.01,0.064,,,
1.02,0.064,0.348,0.007,0.084
1.03,0.064,,,
1.04,0.064,0.348,0.011,0.047
1.05,0.064,,,
1.06,0.064,0.349,0.010,-0.073
1.07,0.064,,,
1.08,0.064,0.349,0.006,-0.106
1.09,0.064,,,
1.10,0.064,0.349,0.006,-0.138
1.11,0.059,,,
1.12,0.059,0.349,0.001,-0.171
1.13,0.064,,,
1.14,0.064,0.349,-0.003,-0.103
1.15,0.064,,,
1.16,0.064,0.349,-0.003,-0.006
1.17,0.064,,,
1.18,0.064,0.349,-0.003,0.087
1.19,0.064,,,
1.20,0.064,0.349,0.002,0.079
1.21,0.064,,,
1.22,0.064,0.349,0.001,0.018
1.23,0.064,,,
1.24,0.064,0.349,0.001,0.048
1.25,0.064,,,
1.26,0.064,0.349,0.004,0.043
1.27,0.064,,,
1.28,0.064,0.349,0.003,0.028
1.29,0.064,,,
1.30,0.064,0.349,0.004,0.052
1.31,0.064,,,
1.32,0.064,0.349,0.008,-0.057
1.33,0.064,,,
1.34,0.064,0.349,0.002,-0.160
1.35,0.064,,,
1.36,0.064,0.349,-0.002,-0.100
1.37,0.064,,,
1.38,0.064,0.349,-0.003,0.015
1.39,0.064,,,
1.40,0.064,0.349,-0.001,0.097
1.41,0.064,,,
1.42,0.064,0.349,0.002,0.100
1.43,0.064,,,
1.44,0.064,0.349,0.004,0.051
1.45,0.064,,,
1.46,0.064,0.349,0.007,-0.102
1.47,0.064,,,
1.48,0.064,0.350,-0.001,-0.195
1.49,0.064,,,
1.50,0.064,0.349,-0.006,-0.078
1.51,0.064,,,
1.52,0.064,0.349,-0.005,0.059
1.53,0.064,,,
1.54,0.064,0.349,-0.001,0.109
1.55,0.064,,,
1.56,0.064,0.349,0.003,0.011
1.57,0.064,,,
1.58,0.064,0.349,-0.002,-0.059
1.59,0.064,,,
1.60,0.064,0.349,-0.003,0.030
1.61,0.064,,,
1.62,0.064,0.349,0.002,0.031
1.63,0.064,,,
1.64,0.064,0.349,-0.001,-0.021
1.65,0.064,,,
1.66,0.064,0.349,-0.001,-0.010
1.67,0.064,,,
1.68,0.064,0.349,0.001,-0.071
1.69,0.064,,,
1.70,0.064,0.349,-0.004,-0.110
1.71,0.064,,,
1.72,0.069,0.349,-0.005,-0.078
1.73,0.064,,,
1.74,0.064,0.349,-0.007,-0.038
1.75,0.064,,,
1.76,0.064,0.349,-0.007,0.039
1.77,0.064,,,
1.78,0.064,0.349,-0.006,0.111
1.79,0.064,,,
1.80,0.064,0.348,-0.003,0.154
1.81,0.064,,,
1.82,0.064,0.349,0.004,0.054
1.83,0.064,,,
1.84,0.064,0.349,-0.001,-0.042
1.85,0.064,,,
1.86,0.064,0.348,-0.001,0.007
1.87,0.064,,,
1.88,0.064,0.349,0.000,0.056
1.89,0.064,,,
1.90,0.064,0.348,0.002,0.065
1.91,0.064,,,
1.92,0.064,0.349,0.005,-0.049
1.93,0.064,,,
1.94,0.064,0.349,-0.001,-0.143
1.95,0.064,,,
1.96,0.064,0.349,-0.004,-0.063
1.97,0.064,,,
1.98,0.064,0.349,-0.004,0.053
1.99,0.064,,,
2.00,0.064,0.348,-0.001,0.115
2.01,0.064,,,
2.02,0.064,0.348,0.003,0.070
2.03,0.064,,,
2.04,0.064,0.349,0.003,-0.047
2.05,0.064,,,
2.06,0.064,0.349,0.000,-0.118
2.07,0.064,,,
2.08,0.064,0.349,-0.005,-0.043
2.09,0.064,,,
2.10,0.064,0.348,-0.003,0.083
2.11,0.064,,,
2.12,0.064,0.348,0.002,0.066
2.13,0.064,,,
2.14,0.064,0.349,0.001,0.000
2.15,0.064,,,
2.16,0.064,0.348,0.001,-0.026
2.17,0.064,,,
2.18,0.064,0.349,0.001,-0.074
2.19,0.064,,,
2.20,0.064,0.349,-0.002,-0.100
2.21,0.064,,,
2.22,0.064,0.349,-0.006,-0.010
2.23,0.064,,,
2.24,0.064,0.348,-0.003,0.103
2.25,0.064,,,
2.26,0.064,0.348,0.001,0.118
2.27,0.064,,,
2.28,0.064,0.348,0.000,0.225
2.29,0.064,,,
2.30,0.064,0.348,0.006,0.552
2.31,0.064,,,
2.32,0.064,0.348,0.018,1.017
2.33,0.064,,,
2.34,0.064,0.349,0.048,1.280
2.35,0.064,,,
2.36,0.064,0.350,0.087,0.775
2.37,0.064,,,
2.38,0.064,0.353,0.087,0.098
2.39,0.064,,,
2.40,0.064,0.354,0.061,1.059
2.41,0.064,,,
2.42,0.064,0.355,0.086,4.002
